model,state_class,state_label,precision,recall,f1,support
advancedV2_cnn_bilstm,15,D60_S00,0.9119015957446809,0.913724183877415,0.9128119800332779,3002
advancedV2_cnn_bilstm,16,D60_S10,0.6264163159598576,0.6445702864756829,0.6353636512887867,3002
advancedV2_cnn_bilstm,17,D60_S20,0.7625990491283676,0.6095768938434254,0.6775556181357364,3947
advancedV2_cnn_bilstm,18,D60_S30,0.5884286653517423,0.2981345769487009,0.39575502984744637,3002
advancedV2_cnn_bilstm,19,D60_S40,0.7463662790697675,0.6842105263157895,0.7139381299965242,3002
advancedV2_cnn_bilstm,20,D80_S00,0.8770609318996416,0.8726818830242511,0.874865927779764,2804
advancedV2_cnn_bilstm,21,D80_S10,0.792477025005343,0.8815977175463623,0.8346651660101294,4206
advancedV2_cnn_bilstm,22,D80_S20,0.6941809792360933,0.9657631954350927,0.8077554064131245,2804
advancedV2_cnn_bilstm,23,D80_S30,0.4432121585541179,0.7696148359486448,0.5624918545549329,2804
advancedV2_cnn_bilstm,24,D80_S40,0.0,0.0,0.0,2804
advancedV3_physics_fusion,0,D00_S00,0.9585592563903951,0.8244503664223851,0.8864613180515759,3002
advancedV3_physics_fusion,1,D00_S10,0.8224878264718902,0.6189207195203198,0.706329595134005,3002
advancedV3_physics_fusion,2,D00_S20,0.9415204678362573,0.4826782145236509,0.638185421713279,3002
advancedV3_physics_fusion,3,D00_S30,0.7292022444498658,0.7483725588382574,0.7386630421351785,3994
advancedV3_physics_fusion,4,D00_S40,0.9169363538295577,0.7550521874306019,0.8281573498964804,4503
advancedV3_physics_fusion,5,D20_S00,0.6499684940138626,0.6872085276482345,0.6680699481865285,3002
advancedV3_physics_fusion,6,D20_S10,0.5349900596421471,0.896402398401066,0.6700697211155379,3002
advancedV3_physics_fusion,7,D20_S20,0.5077239958805355,0.8211192538307794,0.627465953926435,3002
advancedV3_physics_fusion,8,D20_S30,0.5749494206363803,0.774721189591078,0.6600506756756757,4035
advancedV3_physics_fusion,9,D20_S40,0.6740723774622079,0.809851403412218,0.73575,3634
