model,source_file,segment_index,num_windows,damage_accuracy,stress_accuracy,multitask_state_accuracy,state_head_accuracy,state_head_macro_f1,mean_state_confidence
advancedV1_multiscale_extratrees,VTEST_S40.csv,0,1302,0.7642089093701997,0.9331797235023042,0.7304147465437788,0.7304147465437788,0.16884154460719042,
advancedV1_multiscale_extratrees,VTEST_S40.csv,1,1501,0.9187208527648234,0.9966688874083944,0.9187208527648234,0.9187208527648234,0.23940972222222223,
advancedV1_multiscale_extratrees,VTEST_S40.csv,2,1501,0.7461692205196535,1.0,0.7461692205196535,0.7461692205196535,0.28487854508457333,
advancedV1_multiscale_extratrees,VTEST_S40.csv,3,1501,0.8067954696868754,1.0,0.8067954696868754,0.8067954696868754,0.4465339233038348,
advancedV1_multiscale_extratrees,VTEST_S40.csv,4,1501,0.8061292471685543,1.0,0.8061292471685543,0.8061292471685543,0.2975531784089512,
advancedV1_multiscale_extratrees,VTEST_S40_1.csv,0,1302,0.45698924731182794,0.8202764976958525,0.43701996927803377,0.43701996927803377,0.07602886157135222,
advancedV1_multiscale_extratrees,VTEST_S40_1.csv,1,1501,0.7081945369753497,0.7754830113257828,0.6968687541638907,0.6968687541638907,0.16427169218688653,
advancedV1_multiscale_extratrees,VTEST_S40_1.csv,2,1501,0.653564290473018,0.9733510992671552,0.653564290473018,0.653564290473018,0.1976228847703465,
advancedV1_multiscale_extratrees,VTEST_S40_1.csv,3,1501,0.7801465689540307,1.0,0.7801465689540307,0.7801465689540307,0.2921656686626746,
advancedV1_multiscale_extratrees,VTEST_S40_1.csv,4,1501,0.6568954030646236,1.0,0.6568954030646236,0.6568954030646236,0.2643077335477818,
advancedV1_multiscale_extratrees,VTEST_S99.csv,0,1302,0.9024577572964669,1.0,0.9024577572964669,0.9024577572964669,0.4743641501816714,
advancedV1_multiscale_extratrees,VTEST_S99.csv,1,945,0.5142857142857142,0.7735449735449735,0.5142857142857142,0.5142857142857142,0.09703504043126684,
advancedV1_multiscale_extratrees,VTEST_S99.csv,2,901,0.5726970033296337,0.8745837957824639,0.5726970033296337,0.5726970033296337,0.14565984474241356,
advancedV1_multiscale_extratrees,VTEST_S99.csv,3,1665,0.8936936936936937,0.8546546546546546,0.7753753753753754,0.7753753753753754,0.3237243786519679,
advancedV1_multiscale_extratrees,VTEST_S99.csv,4,2493,0.7685519454472524,0.9779382270357,0.7525070196550341,0.7525070196550341,0.33878106094695265,
advancedV2_cnn_bilstm,VTEST_S00.csv,0,1402,1.0,0.87660485021398,0.87660485021398,0.8530670470756063,0.4603541185527329,0.8705266118049622
advancedV2_cnn_bilstm,VTEST_S00.csv,1,1501,0.9467021985343105,1.0,0.9467021985343105,0.9407061958694204,0.32314910172788647,0.9689614772796631
