n_points,outlier_count,outlier_ratio,raw_total_variation,fitted_total_variation,raw_max_adjacent_jump,fitted_max_adjacent_jump,raw_roughness,fitted_roughness,high_confidence_mae,peak_retention,overshoot,model,source_file,experiment_id,target,method,runtime_seconds
7302,51,0.006984387838948234,5760.0,3736.265512265513,80.0,32.346320346320326,88.82191780821918,2.627455801823347,,0.976102255825757,False,advancedV1_multiscale_extratrees,VTEST_S30_1.csv,VTEST_S30,damage,hampel+savgol,32.21479769994039
7302,25,0.003423719528896193,780.0,613.0966810966821,10.0,4.770562770562766,2.3835616438356166,0.09958055496154271,,0.9991954735323144,False,advancedV1_multiscale_extratrees,VTEST_S30_1.csv,VTEST_S30,stress,hampel+savgol,32.21479769994039
7302,25,0.003423719528896193,1720.0,1221.471861471861,60.0,24.259740259740234,17.45205479452055,0.5266973921661685,,0.9986349554760008,False,advancedV1_multiscale_extratrees,VTEST_S40.csv,VTEST_S40,damage,hampel+savgol,32.21479769994039
7302,8,0.0010955902492467817,180.0,97.88744588744652,10.0,4.043290043290035,0.5547945205479452,0.020422865684088434,,0.9997111145134712,False,advancedV1_multiscale_extratrees,VTEST_S40.csv,VTEST_S40,stress,hampel+savgol,32.21479769994039
7302,30,0.004108463434675432,2900.0,2169.6334776334766,80.0,38.16450216450214,41.64383561643836,1.6930513460525878,,0.9914217808335444,False,advancedV1_multiscale_extratrees,VTEST_S40_1.csv,VTEST_S40,damage,hampel+savgol,32.21479769994039
7302,1,0.0001369487811558477,250.0,184.7012987012994,10.0,4.251082251082245,0.7671232876712328,0.04354351454155749,,0.9996645215712746,False,advancedV1_multiscale_extratrees,VTEST_S40_1.csv,VTEST_S40,stress,hampel+savgol,32.21479769994039
7303,11,0.0015062303163083663,640.0,543.8210678210679,40.0,16.173160173160163,5.149979454869196,0.2740385004286462,,0.9994148653942456,False,advancedV1_multiscale_extratrees,VTEST_SXX_BH02.csv,VTEST_SXX_BH02,damage,hampel+savgol,32.21479769994039
7303,0,0.0,40.0,47.272727272727366,20.0,8.086580086580081,0.16436104643199562,0.011894021730781306,,0.9999794230609929,False,advancedV1_multiscale_extratrees,VTEST_SXX_BH02.csv,VTEST_SXX_BH02,stress,hampel+savgol,32.21479769994039
7303,11,0.0015062303163083663,640.0,543.8210678210679,40.0,16.173160173160163,5.149979454869196,0.2740385004286462,,0.9994148653942456,False,advancedV1_multiscale_extratrees,VTEST_SXX_BH02_v2.csv,VTEST_SXX_BH02_v2,damage,hampel+savgol,32.21479769994039
7303,0,0.0,40.0,47.272727272727366,20.0,8.086580086580081,0.16436104643199562,0.011894021730781306,,0.9999794230609929,False,advancedV1_multiscale_extratrees,VTEST_SXX_BH02_v2.csv,VTEST_SXX_BH02_v2,stress,hampel+savgol,32.21479769994039
7402,27,0.0036476627938395027,4440.0,2324.940836940843,80.0,67.11688311688312,116.64864864864865,9.638147337194969,0.04655373486543955,0.9951706777820636,False,advancedV2_cnn_bilstm,VTEST_S00.csv,VTEST_S00,damage,hampel+savgol,32.21479769994039
7402,63,0.008511213185625506,1630.0,682.4963924963923,10.0,6.337662337662331,6.54054054054054,0.17860099206419547,0.0021926125822232644,0.9691824011031112,False,advancedV2_cnn_bilstm,VTEST_S00.csv,VTEST_S00,stress,hampel+savgol,32.21479769994039
7402,9,0.001215887597946501,1400.0,1143.2380952380972,40.0,34.04329004329004,12.0,1.633331520084765,0.0025178237132194065,0.9999301678043986,False,advancedV2_cnn_bilstm,VTEST_S00_1.csv,VTEST_S00,damage,hampel+savgol,32.21479769994039
7402,51,0.006890029721696838,1380.0,555.0418470418467,20.0,12.55411255411254,6.324324324324325,0.1492428308445622,3.925650473812708e-17,0.9727898742760731,False,advancedV2_cnn_bilstm,VTEST_S00_1.csv,VTEST_S00,stress,hampel+savgol,32.21479769994039
7402,64,0.008646311807619562,10320.0,4784.681096681108,80.0,68.08658008658008,280.1081081081081,14.853767493248007,0.05059112427535554,0.9882097712476435,False,advancedV2_cnn_bilstm,VTEST_S10.csv,VTEST_S10,damage,hampel+savgol,32.21479769994039
